Participant	Frame	Preview	Sign	Pre_Target_Skip	FFD_ms	GD_ms	TRT_ms	Reading_Scores	AOA	Group
3	42	UNR	Unrelated	1	142	142	996	280	7	Deaf
3	43	COR	Identical	0	143	143	679	280	7	Deaf
3	44	SIGN	HM	1	235	339	1048	280	7	Deaf
3	45	UNR	Unrelated	0	260	260	490	280	7	Deaf
3	46	COR	Identical	0	226	226	1089	280	7	Deaf
3	47	SIGN	HM	0	148	148	1362	280	7	Deaf
3	48	UNR	Unrelated	1	280	280	591	280	7	Deaf
3	49	COR	Identical	1	207	207	1216	280	7	Deaf
3	50	SIGN	HM	0	330	330	598	280	7	Deaf
3	51	UNR	Unrelated	0	206	206	454	280	7	Deaf
3	52	COR	Identical	0	199	199	889	280	7	Deaf
3	53	SIGN	HM	0	300	300	617	280	7	Deaf
3	54	UNR	Unrelated	0	171	171	632	280	7	Deaf
3	55	COR	Identical	0	237	237	553	280	7	Deaf
3	56	SIGN	HM	0	280	413	751	280	7	Deaf
3	57	UNR	Unrelated	0	140	140	840	280	7	Deaf
3	58	COR	Identical	0	140	140	696	280	7	Deaf
3	59	SIGN	HM	0	291	291	613	280	7	Deaf
3	60	UNR	Unrelated	1	217	217	472	280	7	Deaf
3	61	COR	Identical	0	303	303	738	280	7	Deaf
3	62	SIGN	HLM	0	247	247	1682	280	7	Deaf
3	63	UNR	Unrelated	0	304	304	952	280	7	Deaf
3	64	COR	Identical	0	129	129	463	280	7	Deaf
3	65	SIGN	HLM	0	216	624	1698	280	7	Deaf
3	66	UNR	Unrelated	0	183	183	337	280	7	Deaf
3	67	COR	Identical	0	154	154	436	280	7	Deaf
3	68	SIGN	HLM	0	204	204	974	280	7	Deaf
3	69	UNR	Unrelated	0	137	137	672	280	7	Deaf
3	70	COR	Identical	0	195	394	901	280	7	Deaf
3	71	SIGN	HLM	0	132	132	936	280	7	Deaf
3	72	UNR	Unrelated	1	202	202	202	280	7	Deaf
3	73	COR	Identical	0	154	154	1294	280	7	Deaf
3	74	SIGN	HLM	0	213	213	1780	280	7	Deaf
3	75	UNR	Unrelated	1	194	194	717	280	7	Deaf
3	76	COR	Identical	0	248	248	248	280	7	Deaf
3	77	SIGN	HLM	0	191	191	191	280	7	Deaf
3	78	UNR	Unrelated	0	223	496	958	280	7	Deaf
3	79	COR	Identical	0	172	374	853	280	7	Deaf
3	80	SIGN	HLM	1	262	634	947	280	7	Deaf
4	1	UNR	Unrelated	0	254	254	612	275	0	Deaf
4	2	COR	Identical	0	243	1205	2029	275	0	Deaf
4	3	SIGN	LM	0	374	374	848	275	0	Deaf
4	4	UNR	Unrelated	0	308	308	773	275	0	Deaf
4	5	COR	Identical	0	468	468	468	275	0	Deaf
4	6	SIGN	LM	0	147	614	997	275	0	Deaf
4	7	UNR	Unrelated	1	144	144	280	275	0	Deaf
4	8	COR	Identical	0	206	206	609	275	0	Deaf
4	9	SIGN	LM	0	181	181	1453	275	0	Deaf
4	10	UNR	Unrelated	0	171	171	283	275	0	Deaf
4	11	COR	Identical	0	120	120	1661	275	0	Deaf
4	12	SIGN	LM	0	201	669	2125	275	0	Deaf
4	13	UNR	Unrelated	0	117	117	1799	275	0	Deaf
4	14	COR	Identical	1	200	200	200	275	0	Deaf
4	15	SIGN	LM	1	192	430	1091	275	0	Deaf
4	16	UNR	Unrelated	0	87	87	267	275	0	Deaf
4	17	COR	Identical	0	587	699	1101	275	0	Deaf
4	18	SIGN	LM	0	262	262	561	275	0	Deaf
4	19	UNR	Unrelated	0	238	238	457	275	0	Deaf
4	20	COR	Identical	0	225	225	697	275	0	Deaf
4	21	SIGN	HL	0	525	525	2436	275	0	Deaf
4	22	UNR	Unrelated	0	138	336	1096	275	0	Deaf
4	23	COR	Identical	0	167	167	551	275	0	Deaf
4	24	SIGN	HL	0	197	197	567	275	0	Deaf
4	25	UNR	Unrelated	0	188	188	1350	275	0	Deaf
4	26	COR	Identical	0	229	389	535	275	0	Deaf
4	27	SIGN	HLM	0	395	395	597	275	0	Deaf
4	28	UNR	Unrelated	0	233	233	2152	275	0	Deaf
4	29	COR	Identical	0	151	151	1805	275	0	Deaf
4	30	SIGN	HL	0	149	149	752	275	0	Deaf
4	31	UNR	Unrelated	0	397	397	2465	275	0	Deaf
4	32	COR	Identical	0	233	233	757	275	0	Deaf
4	33	SIGN	HL	0	301	598	900	275	0	Deaf
4	34	UNR	Unrelated	0	219	219	2209	275	0	Deaf
4	35	COR	Identical	0	154	154	411	275	0	Deaf
4	36	SIGN	HL	0	218	218	1262	275	0	Deaf
4	37	UNR	Unrelated	0	256	502	2355	275	0	Deaf
4	38	COR	Identical	0	358	358	550	275	0	Deaf
4	39	SIGN	HL	0	235	235	387	275	0	Deaf
4	40	UNR	Unrelated	0	171	171	572	275	0	Deaf
4	41	COR	Identical	0	221	221	221	275	0	Deaf
4	42	SIGN	HM	0	683	683	843	275	0	Deaf
4	43	UNR	Unrelated	0	152	152	1087	275	0	Deaf
4	44	COR	Identical	1	325	325	1806	275	0	Deaf
4	45	SIGN	HM	0	281	281	459	275	0	Deaf
4	46	UNR	Unrelated	0	198	198	637	275	0	Deaf
4	47	COR	Identical	0	184	184	2070	275	0	Deaf
4	48	SIGN	HM	1	218	218	416	275	0	Deaf
4	49	UNR	Unrelated	1	204	204	724	275	0	Deaf
4	50	COR	Identical	0	206	206	1220	275	0	Deaf
4	51	SIGN	HM	0	268	268	1827	275	0	Deaf
4	52	UNR	Unrelated	0	164	322	322	275	0	Deaf
4	53	COR	Identical	0	152	152	152	275	0	Deaf
4	54	SIGN	HM	0	148	148	639	275	0	Deaf
4	55	UNR	Unrelated	0	96	96	517	275	0	Deaf
4	56	COR	Identical	0	212	422	823	275	0	Deaf
4	57	SIGN	HM	0	242	242	359	275	0	Deaf
4	58	UNR	Unrelated	0	133	344	998	275	0	Deaf
4	59	COR	Identical	0	189	189	353	275	0	Deaf
4	60	SIGN	HM	0	201	376	569	275	0	Deaf
4	61	UNR	Unrelated	0	140	345	614	275	0	Deaf
4	62	COR	Identical	0	359	653	1333	275	0	Deaf
4	63	SIGN	LM	0	328	328	800	275	0	Deaf
4	64	UNR	Unrelated	0	328	328	493	275	0	Deaf
4	65	COR	Identical	0	312	312	907	275	0	Deaf
4	66	SIGN	HLM	0	362	548	854	275	0	Deaf
4	67	UNR	Unrelated	1	191	567	567	275	0	Deaf
4	68	COR	Identical	0	222	468	1089	275	0	Deaf
4	69	SIGN	HL	0	373	373	730	275	0	Deaf
4	70	UNR	Unrelated	0	68	262	509	275	0	Deaf
4	71	COR	Identical	0	168	168	2739	275	0	Deaf
4	72	SIGN	HLM	0	630	630	1272	275	0	Deaf
4	73	UNR	Unrelated	0	212	415	415	275	0	Deaf
4	74	COR	Identical	0	194	194	1187	275	0	Deaf
4	75	SIGN	HLM	0	188	188	1136	275	0	Deaf
4	76	UNR	Unrelated	0	145	145	145	275	0	Deaf
4	77	COR	Identical	0	223	364	1213	275	0	Deaf
4	78	SIGN	HLM	0	480	480	1362	275	0	Deaf
4	79	UNR	Unrelated	0	687	687	988	275	0	Deaf
4	80	COR	Identical	0	178	463	463	275	0	Deaf
5	1	SIGN	LM	0	110	178	178	203	0	Deaf
5	2	UNR	Unrelated	0	253	253	510	203	0	Deaf
5	3	COR	Identical	0	222	222	222	203	0	Deaf
5	4	SIGN	LM	0	195	358	980	203	0	Deaf
5	5	UNR	Unrelated	0	205	205	205	203	0	Deaf
5	6	COR	Identical	0	188	188	596	203	0	Deaf
5	7	SIGN	LM	0	233	479	1759	203	0	Deaf
5	8	UNR	Unrelated	0	138	138	304	203	0	Deaf
5	9	COR	Identical	0	206	206	334	203	0	Deaf
5	10	SIGN	LM	1	254	254	461	203	0	Deaf
5	11	UNR	Unrelated	0	404	613	911	203	0	Deaf
5	12	COR	Identical	0	92	92	1953	203	0	Deaf
5	13	SIGN	LM	0	225	700	966	203	0	Deaf
5	14	UNR	Unrelated	0	161	161	385	203	0	Deaf
5	15	COR	Identical	1	310	310	310	203	0	Deaf
5	16	SIGN	LM	0	137	137	309	203	0	Deaf
5	17	UNR	Unrelated	1	240	240	680	203	0	Deaf
5	18	COR	Identical	0	380	862	1012	203	0	Deaf
5	19	SIGN	LM	0	175	297	767	203	0	Deaf
5	20	UNR	Unrelated	0	182	182	299	203	0	Deaf
5	21	COR	Identical	0	113	191	580	203	0	Deaf
5	22	SIGN	HL	0	142	142	332	203	0	Deaf
5	23	UNR	Unrelated	1	215	402	402	203	0	Deaf
5	24	COR	Identical	1	NA	NA	0	203	0	Deaf
5	25	SIGN	HL	0	180	406	578	203	0	Deaf
5	26	UNR	Unrelated	0	149	149	760	203	0	Deaf
5	27	COR	Identical	0	270	270	270	203	0	Deaf
5	28	SIGN	HL	0	138	138	431	203	0	Deaf
5	29	UNR	Unrelated	0	127	618	779	203	0	Deaf
5	30	COR	Identical	0	120	120	175	203	0	Deaf
5	31	SIGN	HL	0	203	203	203	203	0	Deaf
5	32	UNR	Unrelated	1	218	218	218	203	0	Deaf
5	33	COR	Identical	0	155	155	1261	203	0	Deaf
5	34	SIGN	HL	0	162	405	405	203	0	Deaf
